PLAYER_NAME,SEASON,PTS,REB,AST
Andrew Wiggins,2018,17.584415584415588,4.727272727272728,2.402597402597402
Andrew Wiggins,2019,21.129629629629626,4.796296296296297,3.425925925925926
Andy Rautins,2017,0.6666666666666666,1.0,1.3333333333333333
Anfernee Simons,2018,3.5,0.5,0.5666666666666667
Anfernee Simons,2019,9.0625,2.484375,1.484375
Angel Delgado,2018,2.3333333333333335,1.6666666666666665,0.0
Angel Rodriguez,2018,5.0,0.0,0.0
Ante Zizic,2017,3.422222222222221,1.8444444444444448,0.1999999999999998
Ante Zizic,2018,7.936507936507938,5.412698412698416,0.8571428571428567
Ante Zizic,2019,4.526315789473683,3.1578947368421058,0.31578947368421056
Anthony Bennett,2017,4.700910218253966,3.186928323412695,0.48264632936507984
Anthony Bennett,2019,4.700910218253966,3.186928323412695,0.48264632936507984
